id;date;home;away;H;D;A;date_x_x;team_x_x;total_goals_home;total_xg_home;total_goals_against_home;total_xg_against_home;last_5_home;match_played_home;PPG_home;date_x_y;team_x_y;total_goals_away;total_xg_away;total_goals_against_away;total_xg_against_away;last_5_away;match_played_away;PPG_away
61061503;2026-03-06T19:45:00Z;SSC Napoli;Torino FC;1.55;3.8;6.5;2026-02-28;SSC Napoli;41.0;41.038062;28.0;30.705261;10.0;26;2.0384615384615383;2026-03-01;Torino FC;27.0;34.41793;47.0;42.86474;7.0;26;1.1538461538461535
61061489;2026-03-07T14:00:00Z;Cagliari Calcio;Como 1907;5.75;4.0;1.571;2026-02-27;Cagliari Calcio;29.0;27.992276;36.0;43.400746000000005;5.0;26;1.1538461538461535;2026-02-28;Como 1907;44.0;48.797257;20.0;30.623075;8.0;26;1.8461538461538465
61061485;2026-03-07T17:00:00Z;Atalanta BC;Udinese Calcio;1.666;3.7;5.5;2026-03-01;Atalanta BC;37.0;51.188827;24.0;37.839863;10.0;26;1.7307692307692308;2026-03-02;Udinese Calcio;31.0;33.265211;39.0;40.338266;6.0;26;1.3461538461538465
61061495;2026-03-07T19:45:00Z;Juventus Turin;Pisa SC;1.25;6.25;11.0;2026-03-01;Juventus Turin;46.0;50.592157;28.0;27.097893999999997;5.0;26;1.807692307692308;2026-03-02;Pisa SC;20.0;30.688969699999998;44.0;48.2040973;1.0;26;0.5769230769230769
61061499;2026-03-08T11:30:00Z;US Lecce;US Cremonese;2.1;3.0;4.0;2026-02-28;US Lecce;18.0;24.037999000000003;36.0;47.017686000000005;6.0;26;0.9230769230769232;2026-03-01;US Cremonese;21.0;27.947932;38.0;52.93807600000001;1.0;26;0.9230769230769232
61061491;2026-03-08T14:00:00Z;ACF Fiorentina;Parma Calcio;1.7;3.6;5.25;2026-03-02;ACF Fiorentina;30.0;41.802516;42.0;42.79336599999999;7.0;26;0.9230769230769232;2026-02-27;Parma Calcio;20.0;28.7247833;32.0;44.49691100000001;10.0;26;1.2692307692307692
61061487;2026-03-08T14:00:00Z;Bologna FC;Hellas Verona;1.55;3.9;6.5;2026-03-02;Bologna FC;36.0;37.10619399999999;32.0;36.9852517;9.0;26;1.5;2026-02-28;Hellas Verona;20.0;27.6748853;48.0;38.75887699999999;1.0;26;0.5769230769230769
61061493;2026-03-08T17:00:00Z;Genoa CFC;AS Roma;4.2;3.4;1.909;2026-02-28;Genoa CFC;32.0;34.5829;39.0;41.8847243;4.0;26;1.0384615384615383;2026-03-01;AS Roma;37.0;43.858759000000006;19.0;30.163297;8.0;26;1.9615384615384612
61061501;2026-03-08T19:45:00Z;AC Milan;Inter Milano;3.6;3.0;2.25;2026-03-01;AC Milan;43.0;51.58172400000001;20.0;29.219327999999997;10.0;26;2.1923076923076925;2026-02-28;Inter Milano;64.0;67.15578000000001;21.0;21.712776;15.0;26;2.576923076923077
61061497;2026-03-09T19:45:00Z;Lazio Rome;Sassuolo Calcio;2.15;3.25;3.5;2026-03-01;Lazio Rome;26.0;31.228116;27.0;37.227912;5.0;26;1.3076923076923077;2026-03-01;Sassuolo Calcio;34.0;33.949704999999994;36.0;43.35983599999999;12.0;26;1.4615384615384617
61301103;2026-03-14T15:00:00Z;Burnley FC;AFC Bournemouth;4.0;3.6;1.85;2026-03-03;Burnley FC;32.0;27.324960999999995;58.0;62.886066000000014;4.0;28;0.6785714285714286;2026-03-03;AFC Bournemouth;44.0;49.677379;46.0;42.10660000000001;7.0;28;1.4285714285714286
61301115;2026-03-14T15:00:00Z;Sunderland AFC;Brighton & Hove Albion;3.3;3.4;2.2;2026-03-03;Sunderland AFC;30.0;30.084011;34.0;46.74132899999999;4.0;28;1.4285714285714286;2026-03-04;Brighton & Hove Albion;38.0;42.10467099999998;36.0;42.743515;6.0;28;1.3214285714285714
61301105;2026-03-14T17:30:00Z;Chelsea FC;Newcastle United;1.8;4.2;3.8;2026-03-04;Chelsea FC;53.0;61.55390599999999;34.0;42.860619;8.0;28;1.7142857142857142;2026-03-04;Newcastle United;42.0;47.404212;43.0;39.753237000000006;6.0;28;1.3928571428571428
61301099;2026-03-14T17:30:00Z;Arsenal FC;Everton FC;1.333;4.5;10.0;2026-03-04;Arsenal FC;59.0;58.832054;22.0;23.8599202;11.0;29;2.310344827586207;2026-03-03;Everton FC;34.0;37.704839;33.0;43.85780499999999;9.0;28;1.5357142857142858
61301117;2026-03-14T20:00:00Z;West Ham United;Manchester City;4.5;4.5;1.65;2026-03-04;West Ham United;35.0;37.626424;54.0;53.469896000000006;8.0;28;1.0;2026-03-04;Manchester City;59.0;58.574245000000005;27.0;34.580084;13.0;28;2.142857142857143
61301113;2026-03-15T14:00:00Z;Nottingham Forest;Fulham FC;2.15;3.5;3.3;2026-03-04;Nottingham Forest;28.0;35.05889499999999;43.0;50.16386700000002;2.0;28;1.0;2026-03-04;Fulham FC;40.0;36.55812600000001;43.0;46.012223;6.0;28;1.4285714285714286
61301111;2026-03-15T14:00:00Z;Manchester United;Aston Villa;1.727;3.8;4.333;2026-03-04;Manchester United;51.0;55.40818599999999;40.0;36.95565599999999;10.0;28;1.8214285714285716;2026-03-04;Aston Villa;39.0;39.006641;34.0;44.827625000000005;5.0;28;1.8214285714285716
61301107;2026-03-15T14:00:00Z;Crystal Palace;Leeds United;2.2;3.4;3.25;2026-03-05;Crystal Palace;33.0;48.63627999999999;35.0;43.75670799999999;9.0;28;1.3571428571428572;2026-03-03;Leeds United;37.0;43.829878;48.0;44.76207;5.0;28;1.1071428571428572
