id;date;home;away;H;D;A
61061503;2026-03-06T19:45:00Z;SSC Napoli;Torino FC;1.55;3.8;6.5
61061489;2026-03-07T14:00:00Z;Cagliari Calcio;Como 1907;5.75;4.0;1.571
61061485;2026-03-07T17:00:00Z;Atalanta BC;Udinese Calcio;1.666;3.7;5.5
61061495;2026-03-07T19:45:00Z;Juventus Turin;Pisa SC;1.25;6.25;11.0
61061499;2026-03-08T11:30:00Z;US Lecce;US Cremonese;2.1;3.0;4.0
61061491;2026-03-08T14:00:00Z;ACF Fiorentina;Parma Calcio;1.7;3.6;5.25
61061487;2026-03-08T14:00:00Z;Bologna FC;Hellas Verona;1.55;3.9;6.5
61061493;2026-03-08T17:00:00Z;Genoa CFC;AS Roma;4.2;3.4;1.909
61061501;2026-03-08T19:45:00Z;AC Milan;Inter Milano;3.6;3.0;2.25
61061497;2026-03-09T19:45:00Z;Lazio Rome;Sassuolo Calcio;2.15;3.25;3.5
61301103;2026-03-14T15:00:00Z;Burnley FC;AFC Bournemouth;4.0;3.6;1.85
61301115;2026-03-14T15:00:00Z;Sunderland AFC;Brighton & Hove Albion;3.3;3.4;2.2
61301105;2026-03-14T17:30:00Z;Chelsea FC;Newcastle United;1.8;4.2;3.8
61301099;2026-03-14T17:30:00Z;Arsenal FC;Everton FC;1.333;4.5;10.0
61301117;2026-03-14T20:00:00Z;West Ham United;Manchester City;4.5;4.5;1.65
61301113;2026-03-15T14:00:00Z;Nottingham Forest;Fulham FC;2.15;3.5;3.3
61301111;2026-03-15T14:00:00Z;Manchester United;Aston Villa;1.727;3.8;4.333
61301107;2026-03-15T14:00:00Z;Crystal Palace;Leeds United;2.2;3.4;3.25
61301109;2026-03-15T16:30:00Z;Liverpool FC;Tottenham Hotspur;1.333;5.0;8.5
61624462;2026-03-06T20:00:00Z;RC Celta de Vigo;Real Madrid;3.2;3.3;2.25
61624474;2026-03-07T13:00:00Z;CA Osasuna;RCD Mallorca;1.727;3.6;5.0
61624472;2026-03-07T15:15:00Z;Levante UD;Girona FC;2.8;3.4;2.45
61624460;2026-03-07T17:30:00Z;Atletico Madrid;Real Sociedad San Sebastian;1.65;3.9;5.25
61624458;2026-03-07T20:00:00Z;Athletic Bilbao;FC Barcelona;4.5;4.5;1.65
61624470;2026-03-08T13:00:00Z;Villarreal CF;Elche CF;1.5;4.5;6.0
61624468;2026-03-08T15:15:00Z;Getafe CF;Real Betis Seville;2.8;2.9;2.8
61624476;2026-03-08T17:30:00Z;Sevilla FC;Rayo Vallecano;2.55;3.1;3.0
61624466;2026-03-08T20:00:00Z;Valencia CF;Deportivo Alaves;2.05;3.1;4.1
61624464;2026-03-09T20:00:00Z;Espanyol Barcelona;Real Oviedo;1.85;3.4;4.333
61514040;2026-03-06T19:30:00Z;Bayern Munich;Borussia Monchengladbach;1.222;8.5;9.5
61514054;2026-03-07T14:30:00Z;1. FC Heidenheim;TSG Hoffenheim;5.0;4.5;1.571
61514042;2026-03-07T14:30:00Z;SC Freiburg;Bayer Leverkusen;2.9;3.3;2.4
61514048;2026-03-07T14:30:00Z;VFL Wolfsburg;Hamburger SV;2.3;3.5;3.0
61514046;2026-03-07T14:30:00Z;RB Leipzig;FC Augsburg;1.42;5.0;6.5
61514044;2026-03-07T14:30:00Z;FSV Mainz;VfB Stuttgart;3.2;3.6;2.15
61514056;2026-03-07T17:30:00Z;1. FC Cologne;Borussia Dortmund;4.1;4.0;1.75
61514052;2026-03-08T14:30:00Z;FC St. Pauli;Eintracht Frankfurt;2.625;3.4;2.6
61514050;2026-03-08T16:30:00Z;Union Berlin;Werder Bremen;2.25;3.3;3.25
61514070;2026-03-13T19:30:00Z;Borussia Monchengladbach;FC St. Pauli;1.95;3.3;4.0
61526438;2026-03-06T19:45:00Z;Paris Saint-Germain;AS Monaco;1.333;5.75;7.5
61526436;2026-03-07T16:00:00Z;FC Nantes;Angers SCO;2.2;3.0;3.6
61526434;2026-03-07T18:00:00Z;AJ Auxerre;Strasbourg Alsace;3.6;3.3;2.1
61526422;2026-03-07T20:05:00Z;Toulouse FC;Olympique Marseille;3.0;3.5;2.3
61526430;2026-03-08T14:00:00Z;Racing Club De Lens;FC Metz;1.27;5.75;11.0
61526432;2026-03-08T16:15:00Z;Lille OSC;FC Lorient;1.55;4.1;6.0
61526426;2026-03-08T16:15:00Z;OGC Nice;Stade Rennais FC;2.875;3.5;2.35
61526424;2026-03-08T16:15:00Z;Stade Brest 29;Le Havre AC;1.909;3.5;4.1
61526428;2026-03-08T19:45:00Z;Olympique Lyon;Paris FC;1.666;3.8;5.25
