0 0
"AC Milan" Ajaccio
Ajaccio Alaves
Alaves Almeria
Almeria Angers
Angers Arsenal
"Arminia Bielefeld" "Aston Villa"
Arsenal Atalanta
"Aston Villa" "Ath Bilbao"
Atalanta "Ath Madrid"
"Athletic Club" Augsburg
"Atletico Madrid" Auxerre
Augsburg Barcelona
Auxerre "Bayern Munich"
Barcelona Betis
"Bayer Leverkusen" Bielefeld
"Bayern Munich" Bochum
Bochum Bologna
Bologna Bordeaux
Bordeaux Bournemouth
"Borussia Dortmund" Brentford
"Borussia M.Gladbach" Brest
Bournemouth Brighton
Brentford Burnley
Brest Cadiz
Brighton Cagliari
Burnley Celta
Cadiz Chelsea
Cagliari Clermont
"Celta Vigo" Como
Chelsea Cremonese
"Clermont Foot" "Crystal Palace"
Como Darmstadt
Cremonese Dortmund
"Crystal Palace" "Ein Frankfurt"
Darmstadt Elche
"Eintracht Frankfurt" Empoli
Elche Espanol
Empoli Everton
Espanyol "FC Koln"
Everton Fiorentina
"FC Cologne" Freiburg
"FC Heidenheim" Frosinone
Fiorentina Fulham
Freiburg Genoa
Frosinone Getafe
Fulham Girona
Genoa Granada
Getafe "Greuther Furth"
Girona Hamburg
Granada Heidenheim
"Greuther Fuerth" Hertha
"Hamburger SV" Hoffenheim
"Hertha Berlin" "Holstein Kiel"
Hoffenheim Inter
"Holstein Kiel" Ipswich
Inter Juventus
Ipswich "Las Palmas"
Juventus Lazio
"Las Palmas" "Le Havre"
Lazio Lecce
"Le Havre" Leeds
Lecce Leganes
Leeds Leicester
Leganes Lens
Leicester Levante
Lens Leverkusen
Levante Lille
Lille Liverpool
Liverpool Lorient
Lorient Luton
Luton Lyon
Lyon M'gladbach
"Mainz 05" Mainz
Mallorca Mallorca
"Manchester City" "Man City"
"Manchester United" "Man United"
Marseille Marseille
Metz Metz
Monaco Milan
Montpellier Monaco
Monza Montpellier
Nantes Monza
Napoli Nantes
"Newcastle United" Napoli
Nice Newcastle
Norwich Nice
"Nottingham Forest" Norwich
Osasuna "Nott'm Forest"
"Paris FC" Osasuna
"Paris Saint Germain" Oviedo
"Parma Calcio 1913" "Paris FC"
Pisa "Paris SG"
"RasenBallsport Leipzig" Parma
"Rayo Vallecano" Pisa
"Real Betis" "RB Leipzig"
"Real Madrid" "Real Madrid"
"Real Oviedo" Reims
"Real Sociedad" Rennes
"Real Valladolid" Roma
Reims Salernitana
Rennes Sampdoria
Roma Sassuolo
Saint-Etienne "Schalke 04"
Salernitana Sevilla
Sampdoria "Sheffield United"
Sassuolo Sociedad
"Schalke 04" Southampton
Sevilla Spezia
"Sheffield United" "St Etienne"
Southampton "St Pauli"
Spezia Strasbourg
"St. Pauli" Stuttgart
Strasbourg Sunderland
Sunderland Torino
Torino Tottenham
Tottenham Toulouse
Toulouse Troyes
Troyes Udinese
Udinese "Union Berlin"
"Union Berlin" Valencia
Valencia Valladolid
Venezia Vallecano
Verona Venezia
"VfB Stuttgart" Verona
Villarreal Villarreal
Watford Watford
"Werder Bremen" "Werder Bremen"
"West Ham" "West Ham"
Wolfsburg Wolfsburg
"Wolverhampton Wanderers" Wolves
